ensembl_gene_id	entrezgene_id	external_gene_name	chromosome_name	description	gene_biotype
Nop58	ENSMUSG00000026020	55989	Nop58	1	NOP58 ribonucleoprotein	protein_coding
Bmpr2	ENSMUSG00000067336	12168	Bmpr2	1	bone morphogenetic protein receptor, type II (serine/threonine kinase)	protein_coding
Fam117b	ENSMUSG00000041040	72750	Fam117b	1	family with sequence similarity 117, member B	protein_coding
Ica1l	ENSMUSG00000026018	70375	Ica1l	1	islet cell autoantigen 1-like	protein_coding
Wdr12	ENSMUSG00000026019	57750	Wdr12	1	WD repeat domain 12	protein_coding
Carf	ENSMUSG00000026017	241066	Carf	1	calcium response factor	protein_coding
Nbeal1	ENSMUSG00000073664	269198	Nbeal1	1	neurobeachin like 1	protein_coding
Cyp20a1	ENSMUSG00000049439	77951	Cyp20a1	1	cytochrome P450, family 20, subfamily a, polypeptide 1	protein_coding
Abi2	ENSMUSG00000026782	329165	Abi2	1	abl-interactor 2	protein_coding
Raph1	ENSMUSG00000026014	77300	Raph1	1	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	protein_coding
Cd28	ENSMUSG00000026012	12487	Cd28	1	CD28 antigen	protein_coding
Icos	ENSMUSG00000026009	54167	Icos	1	inducible T cell co-stimulator	protein_coding
9530026F06Rik	ENSMUSG00000085447	NA	9530026F06Rik	1	RIKEN cDNA 9530026F06 gene	lncRNA
Pard3b	ENSMUSG00000052062	72823	Pard3b	1	par-3 family cell polarity regulator beta	protein_coding
Pard3bos1	ENSMUSG00000085842	NA	Pard3bos1	1	par-3 family cell polarity regulator beta, opposite strand 1	lncRNA
Pard3bos3	ENSMUSG00000085400	NA	Pard3bos3	1	par-3 family cell polarity regulator beta, opposite strand 3	lncRNA
Nrp2	ENSMUSG00000025969	18187	Nrp2	1	neuropilin 2	protein_coding
Gm29083	ENSMUSG00000100811	NA	Gm29083	1	predicted gene 29083	lncRNA
Ino80d	ENSMUSG00000040865	227195	Ino80d	1	INO80 complex subunit D	protein_coding
Ino80dos	ENSMUSG00000084799	NA	Ino80dos	1	INO80 complex subunit D, opposite strand	lncRNA
Gm20342	ENSMUSG00000101599	NA	Gm20342	1	predicted gene, 20342	lncRNA
Ndufs1	ENSMUSG00000025968	227197	Ndufs1	1	NADH:ubiquinone oxidoreductase core subunit S1	protein_coding
Eef1b2	ENSMUSG00000025967	55949	Eef1b2	1	eukaryotic translation elongation factor 1 beta 2	protein_coding
Gpr1	ENSMUSG00000046856	241070	Gpr1	1	G protein-coupled receptor 1	protein_coding
Zdbf2	ENSMUSG00000027520	73884	Zdbf2	1	zinc finger, DBF-type containing 2	protein_coding
Adam23	ENSMUSG00000025964	23792	Adam23	1	a disintegrin and metallopeptidase domain 23	protein_coding
Fastkd2	ENSMUSG00000025962	75619	Fastkd2	1	FAST kinase domains 2	protein_coding
Gm13749	ENSMUSG00000044689	NA	Gm13749	1	predicted gene 13749	lncRNA
Klf7	ENSMUSG00000025959	93691	Klf7	1	Kruppel-like factor 7 (ubiquitous)	protein_coding
Creb1	ENSMUSG00000025958	12912	Creb1	1	cAMP responsive element binding protein 1	protein_coding
Mettl21a	ENSMUSG00000025956	67099	Mettl21a	1	methyltransferase like 21A	protein_coding
Gm28982	ENSMUSG00000101832	NA	Gm28982	1	predicted gene 28982	lncRNA
Ccnyl1	ENSMUSG00000070871	227210	Ccnyl1	1	cyclin Y-like 1	protein_coding
Fzd5	ENSMUSG00000045005	14367	Fzd5	1	frizzled class receptor 5	protein_coding
Plekhm3	ENSMUSG00000051344	241075	Plekhm3	1	pleckstrin homology domain containing, family M, member 3	protein_coding
Crygc	ENSMUSG00000025952	12966	Crygc	1	crystallin, gamma C	protein_coding
D630023F18Rik	ENSMUSG00000044816	98303	D630023F18Rik	1	RIKEN cDNA D630023F18 gene	protein_coding
Idh1	ENSMUSG00000025950	15926	Idh1	1	isocitrate dehydrogenase 1 (NADP+), soluble	protein_coding
Pikfyve	ENSMUSG00000025949	18711	Pikfyve	1	phosphoinositide kinase, FYVE type zinc finger containing	protein_coding
Map2	ENSMUSG00000015222	17756	Map2	1	microtubule-associated protein 2	protein_coding
Unc80	ENSMUSG00000055567	329178	Unc80	1	unc-80, NALCN activator	protein_coding
Rpe	ENSMUSG00000026005	66646	Rpe	1	ribulose-5-phosphate-3-epimerase	protein_coding
Kansl1l	ENSMUSG00000026004	68691	Kansl1l	1	KAT8 regulatory NSL complex subunit 1-like	protein_coding
Acadl	ENSMUSG00000026003	11363	Acadl	1	acyl-Coenzyme A dehydrogenase, long-chain	protein_coding
Myl1	ENSMUSG00000061816	17901	Myl1	1	myosin, light polypeptide 1	protein_coding
Lancl1	ENSMUSG00000026000	14768	Lancl1	1	LanC (bacterial lantibiotic synthetase component C)-like 1	protein_coding
Erbb4	ENSMUSG00000062209	13869	Erbb4	1	erb-b2 receptor tyrosine kinase 4	protein_coding
Gm28497	ENSMUSG00000099804	NA	Gm28497	1	predicted gene 28497	lncRNA
Gm29114	ENSMUSG00000101156	NA	Gm29114	1	predicted gene 29114	lncRNA
Ikzf2	ENSMUSG00000025997	22779	Ikzf2	1	IKAROS family zinc finger 2	protein_coding
Bard1	ENSMUSG00000026196	12021	Bard1	1	BRCA1 associated RING domain 1	protein_coding
Atic	ENSMUSG00000026192	108147	Atic	1	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	protein_coding
Fn1	ENSMUSG00000026193	14268	Fn1	1	fibronectin 1	protein_coding
Apol7d	ENSMUSG00000073652	NA	Apol7d	1	apolipoprotein L 7d	lncRNA
Gm8883	ENSMUSG00000099707	NA	Gm8883	1	predicted gene 8883	lncRNA
Gm28818	ENSMUSG00000101211	NA	Gm28818	1	predicted gene 28818	lncRNA
4933417E11Rik	ENSMUSG00000101848	NA	4933417E11Rik	1	RIKEN cDNA 4933417E11 gene	lncRNA
Gm4319	ENSMUSG00000102123	NA	Gm4319	1	predicted gene 4319	lncRNA
Mreg	ENSMUSG00000039395	381269	Mreg	1	melanoregulin	protein_coding
Pecr	ENSMUSG00000026189	111175	Pecr	1	peroxisomal trans-2-enoyl-CoA reductase	protein_coding
Tmem169	ENSMUSG00000026188	271711	Tmem169	1	transmembrane protein 169	protein_coding
Xrcc5	ENSMUSG00000026187	22596	Xrcc5	1	X-ray repair complementing defective repair in Chinese hamster cells 5	protein_coding
March4	ENSMUSG00000039372	381270	March4	1	membrane-associated ring finger (C3HC4) 4	protein_coding
Smarcal1	ENSMUSG00000039354	54380	Smarcal1	1	SWI/SNF related matrix associated, actin dependent regulator of chromatin, subfamily a-like 1	protein_coding
Rpl37a	ENSMUSG00000046330	19981	Rpl37a	1	ribosomal protein L37a	protein_coding
Igfbp2	ENSMUSG00000039323	16008	Igfbp2	1	insulin-like growth factor binding protein 2	protein_coding
Igfbp5	ENSMUSG00000026185	16011	Igfbp5	1	insulin-like growth factor binding protein 5	protein_coding
6030407O03Rik	ENSMUSG00000100301	NA	6030407O03Rik	1	RIKEN cDNA 6030407O03 gene	lncRNA
Tns1	ENSMUSG00000055322	21961	Tns1	1	tensin 1	protein_coding
Rufy4	ENSMUSG00000061815	435626	Rufy4	1	RUN and FYVE domain containing 4	protein_coding
Cxcr2	ENSMUSG00000026180	12765	Cxcr2	1	chemokine (C-X-C motif) receptor 2	protein_coding
Arpc2	ENSMUSG00000006304	76709	Arpc2	1	actin related protein 2/3 complex, subunit 2	protein_coding
Gpbar1	ENSMUSG00000064272	227289	Gpbar1	1	G protein-coupled bile acid receptor 1	protein_coding
Aamp	ENSMUSG00000006299	227290	Aamp	1	angio-associated migratory protein	protein_coding
Pnkd	ENSMUSG00000026179	56695	Pnkd	1	paroxysmal nonkinesiogenic dyskinesia	protein_coding
Tmbim1	ENSMUSG00000006301	69660	Tmbim1	1	transmembrane BAX inhibitor motif containing 1	protein_coding
Catip	ENSMUSG00000073650	241112	Catip	1	ciliogenesis associated TTC17 interacting protein	protein_coding
Slc11a1	ENSMUSG00000026177	18173	Slc11a1	1	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1	protein_coding
Ctdsp1	ENSMUSG00000026176	227292	Ctdsp1	1	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1	protein_coding
Vil1	ENSMUSG00000026175	22349	Vil1	1	villin 1	protein_coding
Usp37	ENSMUSG00000033364	319651	Usp37	1	ubiquitin specific peptidase 37	protein_coding
Cnot9	ENSMUSG00000026174	58184	Cnot9	1	CCR4-NOT transcription complex, subunit 9	protein_coding
Plcd4	ENSMUSG00000026173	18802	Plcd4	1	phospholipase C, delta 4	protein_coding
Zfp142	ENSMUSG00000026135	77264	Zfp142	1	zinc finger protein 142	protein_coding
Bcs1l	ENSMUSG00000026172	66821	Bcs1l	1	BCS1-like (yeast)	protein_coding
Rnf25	ENSMUSG00000026171	57751	Rnf25	1	ring finger protein 25	protein_coding
Stk36	ENSMUSG00000033276	269209	Stk36	1	serine/threonine kinase 36	protein_coding
Ttll4	ENSMUSG00000033257	67534	Ttll4	1	tubulin tyrosine ligase-like family, member 4	protein_coding
Cyp27a1	ENSMUSG00000026170	104086	Cyp27a1	1	cytochrome P450, family 27, subfamily a, polypeptide 1	protein_coding
Prkag3	ENSMUSG00000006542	241113	Prkag3	1	protein kinase, AMP-activated, gamma 3 non-catalytic subunit	protein_coding
Wnt6	ENSMUSG00000033227	22420	Wnt6	1	wingless-type MMTV integration site family, member 6	protein_coding
Gm29539	ENSMUSG00000099472	NA	Gm29539	1	predicted gene 29539	lncRNA
Wnt10a	ENSMUSG00000026167	22409	Wnt10a	1	wingless-type MMTV integration site family, member 10A	protein_coding
Cdk5r2	ENSMUSG00000090071	12570	Cdk5r2	1	cyclin-dependent kinase 5, regulatory subunit 2 (p39)	protein_coding
Ihh	ENSMUSG00000006538	16147	Ihh	1	Indian hedgehog	protein_coding
Nhej1	ENSMUSG00000026162	75570	Nhej1	1	non-homologous end joining factor 1	protein_coding
Slc23a3	ENSMUSG00000026205	22626	Slc23a3	1	solute carrier family 23 (nucleobase transporters), member 3	protein_coding
Cnppd1	ENSMUSG00000033159	69171	Cnppd1	1	cyclin Pas1/PHO80 domain containing 1	protein_coding
Retreg2	ENSMUSG00000049339	227298	Retreg2	1	reticulophagy regulator family member 2	protein_coding
Zfand2b	ENSMUSG00000026197	68818	Zfand2b	1	zinc finger, AN1 type domain 2B	protein_coding
Abcb6	ENSMUSG00000026198	74104	Abcb6	1	ATP-binding cassette, sub-family B (MDR/TAP), member 6	protein_coding
Atg9a	ENSMUSG00000033124	245860	Atg9a	1	autophagy related 9A	protein_coding
Ankzf1	ENSMUSG00000026199	52231	Ankzf1	1	ankyrin repeat and zinc finger domain containing 1	protein_coding
Glb1l	ENSMUSG00000026200	74577	Glb1l	1	galactosidase, beta 1-like	protein_coding
Stk16	ENSMUSG00000026201	20872	Stk16	1	serine/threonine kinase 16	protein_coding
Tuba4a	ENSMUSG00000026202	22145	Tuba4a	1	tubulin, alpha 4A	protein_coding
Dnajb2	ENSMUSG00000026203	56812	Dnajb2	1	DnaJ heat shock protein family (Hsp40) member B2	protein_coding
Ptprn	ENSMUSG00000026204	19275	Ptprn	1	protein tyrosine phosphatase, receptor type, N	protein_coding
Resp18	ENSMUSG00000033061	19711	Resp18	1	regulated endocrine-specific protein 18	protein_coding
Dnpep	ENSMUSG00000026209	13437	Dnpep	1	aspartyl aminopeptidase	protein_coding
Des	ENSMUSG00000026208	13346	Des	1	desmin	protein_coding
Speg	ENSMUSG00000026207	11790	Speg	1	SPEG complex locus	protein_coding
Gmppa	ENSMUSG00000033021	69080	Gmppa	1	GDP-mannose pyrophosphorylase A	protein_coding
Chpf	ENSMUSG00000032997	74241	Chpf	1	chondroitin polymerizing factor	protein_coding
Obsl1	ENSMUSG00000026211	98733	Obsl1	1	obscurin-like 1	protein_coding
Tmem198	ENSMUSG00000051703	319998	Tmem198	1	transmembrane protein 198	protein_coding
Inha	ENSMUSG00000032968	16322	Inha	1	inhibin alpha	protein_coding
Stk11ip	ENSMUSG00000026213	71728	Stk11ip	1	serine/threonine kinase 11 interacting protein	protein_coding
Slc4a3	ENSMUSG00000006576	20536	Slc4a3	1	solute carrier family 4 (anion exchanger), member 3	protein_coding
Epha4	ENSMUSG00000026235	13838	Epha4	1	Eph receptor A4	protein_coding
Gm28386	ENSMUSG00000101849	NA	Gm28386	1	predicted gene 28386	lncRNA
Pax3	ENSMUSG00000004872	18505	Pax3	1	paired box 3	protein_coding
Sgpp2	ENSMUSG00000032908	433323	Sgpp2	1	sphingosine-1-phosphate phosphotase 2	protein_coding
Farsb	ENSMUSG00000026245	23874	Farsb	1	phenylalanyl-tRNA synthetase, beta subunit	protein_coding
Mogat1	ENSMUSG00000012187	68393	Mogat1	1	monoacylglycerol O-acyltransferase 1	protein_coding
5730419F03Rik	ENSMUSG00000099364	NA	5730419F03Rik	1	RIKEN cDNA 5730419F03 gene	lncRNA
Acsl3	ENSMUSG00000032883	74205	Acsl3	1	acyl-CoA synthetase long-chain family member 3	protein_coding
Utp14b	ENSMUSG00000079470	195434	Utp14b	1	UTP14B small subunit processome component	protein_coding
Kcne4	ENSMUSG00000047330	57814	Kcne4	1	potassium voltage-gated channel, Isk-related subfamily, gene 4	protein_coding
Scg2	ENSMUSG00000050711	20254	Scg2	1	secretogranin II	protein_coding
Ap1s3	ENSMUSG00000054702	252903	Ap1s3	1	adaptor-related protein complex AP-1, sigma 3	protein_coding
Wdfy1	ENSMUSG00000073643	69368	Wdfy1	1	WD repeat and FYVE domain containing 1	protein_coding
Mrpl44	ENSMUSG00000026248	69163	Mrpl44	1	mitochondrial ribosomal protein L44	protein_coding
Serpine2	ENSMUSG00000026249	20720	Serpine2	1	serine (or cysteine) peptidase inhibitor, clade E, member 2	protein_coding
Fam124b	ENSMUSG00000043230	241128	Fam124b	1	family with sequence similarity 124, member B	protein_coding
Cul3	ENSMUSG00000004364	26554	Cul3	1	cullin 3	protein_coding
Dock10	ENSMUSG00000038608	210293	Dock10	1	dedicator of cytokinesis 10	protein_coding
Nyap2	ENSMUSG00000054976	241134	Nyap2	1	neuronal tyrosine-phophorylated phosphoinositide 3-kinase adaptor 2	protein_coding
Irs1	ENSMUSG00000055980	16367	Irs1	1	insulin receptor substrate 1	protein_coding
Gm9747	ENSMUSG00000022591	NA	Gm9747	1	predicted gene 9747	protein_coding
Rhbdd1	ENSMUSG00000026142	76867	Rhbdd1	1	rhomboid domain containing 1	protein_coding
Gm28940	ENSMUSG00000100786	NA	Gm28940	1	predicted gene 28940	lncRNA
Col4a4	ENSMUSG00000067158	12829	Col4a4	1	collagen, type IV, alpha 4	protein_coding
Col4a3	ENSMUSG00000079465	12828	Col4a3	1	collagen, type IV, alpha 3	protein_coding
Mff	ENSMUSG00000026150	75734	Mff	1	mitochondrial fission factor	protein_coding
Tm4sf20	ENSMUSG00000026149	66261	Tm4sf20	1	transmembrane 4 L six family member 20	protein_coding
Gm47791	ENSMUSG00000114299	NA	Gm47791	1	predicted gene, 47791	protein_coding
Agfg1	ENSMUSG00000026159	15463	Agfg1	1	ArfGAP with FG repeats 1	protein_coding
A030005L19Rik	ENSMUSG00000113880	NA	A030005L19Rik	1	RIKEN cDNA A030005L19 gene	protein_coding
A030014E15Rik	ENSMUSG00000113973	NA	A030014E15Rik	1	RIKEN cDNA A030014E15 gene	protein_coding
Slc19a3	ENSMUSG00000038496	80721	Slc19a3	1	solute carrier family 19, member 3	protein_coding
Gm47969	ENSMUSG00000113267	NA	Gm47969	1	predicted gene, 47969	protein_coding
Krtap28-13	ENSMUSG00000101315	71386	Krtap28-13	1	keratin associated protein 28-13	protein_coding
Ccl20	ENSMUSG00000026166	20297	Ccl20	1	chemokine (C-C motif) ligand 20	protein_coding
Daw1	ENSMUSG00000053161	71227	Daw1	1	dynein assembly factor with WDR repeat domains 1	protein_coding
Sphkap	ENSMUSG00000026163	77629	Sphkap	1	SPHK1 interactor, AKAP domain containing	protein_coding
Pid1	ENSMUSG00000045658	98496	Pid1	1	phosphotyrosine interaction domain containing 1	protein_coding
Dner	ENSMUSG00000036766	227325	Dner	1	delta/notch-like EGF repeat containing	protein_coding
Trip12	ENSMUSG00000026219	14897	Trip12	1	thyroid hormone receptor interactor 12	protein_coding
Fbxo36	ENSMUSG00000073633	66153	Fbxo36	1	F-box protein 36	protein_coding
Slc16a14	ENSMUSG00000026220	71781	Slc16a14	1	solute carrier family 16 (monocarboxylic acid transporters), member 14	protein_coding
C130026I21Rik	ENSMUSG00000052477	620078	C130026I21Rik	1	RIKEN cDNA C130026I21 gene	protein_coding
A530032D15Rik	ENSMUSG00000089844	381287	A530032D15Rik	1	RIKEN cDNA A530032D15Rik gene	protein_coding
A530040E14Rik	ENSMUSG00000072109	NA	A530040E14Rik	1	RIKEN cDNA A530040E14 gene	lncRNA
Gm16028	ENSMUSG00000090252	NA	Gm16028	1	predicted gene 16028	lncRNA
Sp110	ENSMUSG00000070034	109032	Sp110	1	Sp110 nuclear body protein	protein_coding
Sp140	ENSMUSG00000070031	434484	Sp140	1	Sp140 nuclear body protein	protein_coding
Sp100	ENSMUSG00000026222	20684	Sp100	1	nuclear antigen Sp100	protein_coding
A630001G21Rik	ENSMUSG00000052760	319997	A630001G21Rik	1	RIKEN cDNA A630001G21 gene	protein_coding
Cab39	ENSMUSG00000036707	12283	Cab39	1	calcium binding protein 39	protein_coding
Itm2c	ENSMUSG00000026223	64294	Itm2c	1	integral membrane protein 2C	protein_coding
4933407L21Rik	ENSMUSG00000026224	NA	4933407L21Rik	1	RIKEN cDNA 4933407L21 gene	protein_coding
Gpr55	ENSMUSG00000049608	227326	Gpr55	1	G protein-coupled receptor 55	protein_coding
2810459M11Rik	ENSMUSG00000026227	72792	2810459M11Rik	1	RIKEN cDNA 2810459M11 gene	protein_coding
Psmd1	ENSMUSG00000026229	70247	Psmd1	1	proteasome (prosome, macropain) 26S subunit, non-ATPase, 1	protein_coding
Htr2b	ENSMUSG00000026228	15559	Htr2b	1	5-hydroxytryptamine (serotonin) receptor 2B	protein_coding
Gm21972	ENSMUSG00000094638	NA	Gm21972	1	predicted gene 21972	protein_coding
Armc9	ENSMUSG00000062590	78795	Armc9	1	armadillo repeat containing 9	protein_coding
B3gnt7	ENSMUSG00000079445	227327	B3gnt7	1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7	protein_coding
Gm28626	ENSMUSG00000099644	NA	Gm28626	1	predicted gene 28626	lncRNA
Ncl	ENSMUSG00000026234	17975	Ncl	1	nucleolin	protein_coding
Ptma	ENSMUSG00000026238	19231	Ptma	1	prothymosin alpha	protein_coding
Pde6d	ENSMUSG00000026239	18582	Pde6d	1	phosphodiesterase 6D, cGMP-specific, rod, delta	protein_coding
Cops7b	ENSMUSG00000026240	26895	Cops7b	1	COP9 signalosome subunit 7B	protein_coding
Nppc	ENSMUSG00000026241	18159	Nppc	1	natriuretic peptide type C	protein_coding
Dis3l2	ENSMUSG00000053333	208718	Dis3l2	1	DIS3 like 3'-5' exoribonuclease 2	protein_coding
Ecel1	ENSMUSG00000026247	13599	Ecel1	1	endothelin converting enzyme-like 1	protein_coding
Prss56	ENSMUSG00000036480	69453	Prss56	1	protease, serine 56	protein_coding
Eif4e2	ENSMUSG00000026254	26987	Eif4e2	1	eukaryotic translation initiation factor 4E member 2	protein_coding
Efhd1	ENSMUSG00000026255	98363	Efhd1	1	EF hand domain containing 1	protein_coding
Gigyf2	ENSMUSG00000048000	227331	Gigyf2	1	GRB10 interacting GYF protein 2	protein_coding
Kcnj13	ENSMUSG00000079436	100040591	Kcnj13	1	potassium inwardly-rectifying channel, subfamily J, member 13	protein_coding
Ngef	ENSMUSG00000026259	53972	Ngef	1	neuronal guanine nucleotide exchange factor	protein_coding
Neu2	ENSMUSG00000079434	23956	Neu2	1	neuraminidase 2	protein_coding
Inpp5d	ENSMUSG00000026288	16331	Inpp5d	1	inositol polyphosphate-5-phosphatase D	protein_coding
Atg16l1	ENSMUSG00000026289	77040	Atg16l1	1	autophagy related 16-like 1 (S. cerevisiae)	protein_coding
Sag	ENSMUSG00000056055	20215	Sag	1	S-antigen, retina and pineal gland (arrestin)	protein_coding
Dgkd	ENSMUSG00000070738	227333	Dgkd	1	diacylglycerol kinase, delta	protein_coding
Gm19582	ENSMUSG00000101942	NA	Gm19582	1	predicted gene, 19582	lncRNA
Usp40	ENSMUSG00000005501	227334	Usp40	1	ubiquitin specific peptidase 40	protein_coding
Ugt1a7c	ENSMUSG00000090124	394432	Ugt1a7c	1	UDP glucuronosyltransferase 1 family, polypeptide A7C	protein_coding
Ugt1a6b	ENSMUSG00000090145	394435	Ugt1a6b	1	UDP glucuronosyltransferase 1 family, polypeptide A6B	protein_coding
Ugt1a6a	ENSMUSG00000054545	94284	Ugt1a6a	1	UDP glucuronosyltransferase 1 family, polypeptide A6A	protein_coding
Ugt1a5	ENSMUSG00000089943	394433	Ugt1a5	1	UDP glucuronosyltransferase 1 family, polypeptide A5	protein_coding
Ugt1a2	ENSMUSG00000090171	22236	Ugt1a2	1	UDP glucuronosyltransferase 1 family, polypeptide A2	protein_coding
Dnajb3	ENSMUSG00000081984	15504	Dnajb3	1	DnaJ heat shock protein family (Hsp40) member B3	protein_coding
Ugt1a1	ENSMUSG00000089960	394436	Ugt1a1	1	UDP glucuronosyltransferase 1 family, polypeptide A1	protein_coding
Mroh2a	ENSMUSG00000079429	100040766	Mroh2a	1	maestro heat-like repeat family member 2A	protein_coding
Hjurp	ENSMUSG00000044783	212427	Hjurp	1	Holliday junction recognition protein	protein_coding
Glrp1	ENSMUSG00000062310	14659	Glrp1	1	glutamine repeat protein 1	protein_coding
Gm19589	ENSMUSG00000100798	NA	Gm19589	1	predicted gene, 19589	lncRNA
Gm29336	ENSMUSG00000100367	NA	Gm29336	1	predicted gene 29336	lncRNA
Arl4c	ENSMUSG00000049866	320982	Arl4c	1	ADP-ribosylation factor-like 4C	protein_coding
Platr5	ENSMUSG00000097398	NA	Platr5	1	pluripotency associated transcript 5	lncRNA
Sh3bp4	ENSMUSG00000036206	98402	Sh3bp4	1	SH3-domain binding protein 4	protein_coding
Agap1	ENSMUSG00000055013	347722	Agap1	1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1	protein_coding
Gbx2	ENSMUSG00000034486	14472	Gbx2	1	gastrulation brain homeobox 2	protein_coding
Ackr3	ENSMUSG00000044337	12778	Ackr3	1	atypical chemokine receptor 3	protein_coding
Gm28723	ENSMUSG00000101028	NA	Gm28723	1	predicted gene 28723	lncRNA
Cops8	ENSMUSG00000034432	108679	Cops8	1	COP9 signalosome subunit 8	protein_coding
Gm9991	ENSMUSG00000056128	NA	Gm9991	1	predicted gene 9991	lncRNA
Col6a3	ENSMUSG00000048126	12835	Col6a3	1	collagen, type VI, alpha 3	protein_coding
Mlph	ENSMUSG00000026303	171531	Mlph	1	melanophilin	protein_coding
Rab17	ENSMUSG00000026304	19329	Rab17	1	RAB17, member RAS oncogene family	protein_coding
Lrrfip1	ENSMUSG00000026305	16978	Lrrfip1	1	leucine rich repeat (in FLII) interacting protein 1	protein_coding
Rbm44	ENSMUSG00000070732	329207	Rbm44	1	RNA binding motif protein 44	protein_coding
Ramp1	ENSMUSG00000034353	51801	Ramp1	1	receptor (calcitonin) activity modifying protein 1	protein_coding
Ube2f	ENSMUSG00000034343	67921	Ube2f	1	ubiquitin-conjugating enzyme E2F (putative)	protein_coding
Scly	ENSMUSG00000026307	50880	Scly	1	selenocysteine lyase	protein_coding
Gm17090	ENSMUSG00000090322	NA	Gm17090	1	predicted gene 17090	lncRNA
Klhl30	ENSMUSG00000026308	70788	Klhl30	1	kelch-like 30	protein_coding
Erfe	ENSMUSG00000047443	227358	Erfe	1	erythroferrone	protein_coding
